"filename", "language", "Dart", "comment", "blank", "total"
"d:\Projects\study247\lib\constants\common.dart", "Dart", 43, 0, 8, 51
"d:\Projects\study247\lib\constants\firebase.dart", "Dart", 10, 0, 1, 11
"d:\Projects\study247\lib\constants\icons.dart", "Dart", 23, 0, 1, 24
"d:\Projects\study247\lib\core\models\audio.dart", "Dart", 10, 0, 4, 14
"d:\Projects\study247\lib\core\models\document.dart", "Dart", 76, 1, 10, 87
"d:\Projects\study247\lib\core\models\file.dart", "Dart", 38, 0, 8, 46
"d:\Projects\study247\lib\core\models\flashcard.dart", "Dart", 84, 0, 9, 93
"d:\Projects\study247\lib\core\models\folder.dart", "Dart", 47, 0, 9, 56
"d:\Projects\study247\lib\core\models\message.dart", "Dart", 117, 0, 9, 126
"d:\Projects\study247\lib\core\models\result.dart", "Dart", 11, 0, 3, 14
"d:\Projects\study247\lib\core\models\room.dart", "Dart", 186, 1, 11, 198
"d:\Projects\study247\lib\core\models\session_goal.dart", "Dart", 41, 0, 10, 51
"d:\Projects\study247\lib\core\models\user.dart", "Dart", 60, 1, 9, 70
"d:\Projects\study247\lib\core\palette.dart", "Dart", 12, 0, 4, 16
"d:\Projects\study247\lib\core\providers\firebase_providers.dart", "Dart", 8, 0, 2, 10
"d:\Projects\study247\lib\core\shared\screens\error_screen.dart", "Dart", 11, 0, 3, 14
"d:\Projects\study247\lib\core\shared\screens\loading_screen.dart", "Dart", 11, 0, 3, 14
"d:\Projects\study247\lib\core\shared\widgets\app_error.dart", "Dart", 8, 0, 3, 11
"d:\Projects\study247\lib\core\shared\widgets\app_loading.dart", "Dart", 8, 0, 3, 11
"d:\Projects\study247\lib\core\shared\widgets\black_background_button.dart", "Dart", 33, 0, 3, 36
"d:\Projects\study247\lib\core\shared\widgets\bottom_navigator_wrapper.dart", "Dart", 39, 0, 6, 45
"d:\Projects\study247\lib\core\shared\widgets\color_picker.dart", "Dart", 57, 0, 3, 60
"d:\Projects\study247\lib\core\shared\widgets\custom_button.dart", "Dart", 32, 0, 3, 35
"d:\Projects\study247\lib\core\shared\widgets\custom_icon_button.dart", "Dart", 31, 0, 3, 34
"d:\Projects\study247\lib\core\shared\widgets\feature_dialog.dart", "Dart", 88, 0, 5, 93
"d:\Projects\study247\lib\features\auth\controllers\auth_controller.dart", "Dart", 68, 0, 11, 79
"d:\Projects\study247\lib\features\auth\repositories\auth_repository.dart", "Dart", 73, 1, 11, 85
"d:\Projects\study247\lib\features\auth\screens\auth_gate.dart", "Dart", 46, 0, 4, 50
"d:\Projects\study247\lib\features\auth\screens\sign_in_screen.dart", "Dart", 19, 0, 3, 22
"d:\Projects\study247\lib\features\auth\screens\sign_up_screen.dart", "Dart", 10, 0, 3, 13
"d:\Projects\study247\lib\features\chat\controllers\chat_controller.dart", "Dart", 53, 0, 6, 59
"d:\Projects\study247\lib\features\chat\controllers\chat_list_controller.dart", "Dart", 24, 0, 4, 28
"d:\Projects\study247\lib\features\chat\controllers\pinned_messages_controller.dart", "Dart", 24, 0, 4, 28
"d:\Projects\study247\lib\features\chat\repositories\chat_repository.dart", "Dart", 57, 0, 8, 65
"d:\Projects\study247\lib\features\chat\widgets\chat_input.dart", "Dart", 143, 0, 10, 153
"d:\Projects\study247\lib\features\chat\widgets\chat_view.dart", "Dart", 74, 0, 4, 78
"d:\Projects\study247\lib\features\chat\widgets\message_widget.dart", "Dart", 153, 2, 8, 163
"d:\Projects\study247\lib\features\chat\widgets\pinned_messages_dialog.dart", "Dart", 86, 0, 4, 90
"d:\Projects\study247\lib\features\document\controllers\document_controller.dart", "Dart", 98, 0, 9, 107
"d:\Projects\study247\lib\features\document\controllers\document_list_controller.dart", "Dart", 25, 0, 5, 30
"d:\Projects\study247\lib\features\document\controllers\folder_list_controller.dart", "Dart", 25, 0, 5, 30
"d:\Projects\study247\lib\features\document\repositories\document_repository.dart", "Dart", 166, 0, 20, 186
"d:\Projects\study247\lib\features\document\repositories\folder_controller.dart", "Dart", 0, 0, 1, 1
"d:\Projects\study247\lib\features\document\screens\document_edit_screen.dart", "Dart", 311, 14, 32, 357
"d:\Projects\study247\lib\features\document\screens\document_screen.dart", "Dart", 88, 0, 8, 96
"d:\Projects\study247\lib\features\document\screens\document_tab.dart", "Dart", 48, 0, 4, 52
"d:\Projects\study247\lib\features\document\screens\folder_tab.dart", "Dart", 48, 0, 4, 52
"d:\Projects\study247\lib\features\document\widgets\document_create_dialog.dart", "Dart", 153, 0, 13, 166
"d:\Projects\study247\lib\features\document\widgets\document_widget.dart", "Dart", 90, 0, 5, 95
"d:\Projects\study247\lib\features\document\widgets\folder_widget.dart", "Dart", 40, 0, 3, 43
"d:\Projects\study247\lib\features\file\controllers\file_controller.dart", "Dart", 25, 0, 5, 30
"d:\Projects\study247\lib\features\file\repositories\file_repository.dart", "Dart", 53, 1, 10, 64
"d:\Projects\study247\lib\features\file\widgets\file_view.dart", "Dart", 122, 0, 8, 130
"d:\Projects\study247\lib\features\flashcards\controllers\flashcard_list_controller.dart", "Dart", 22, 0, 4, 26
"d:\Projects\study247\lib\features\flashcards\repositories\flashcard_list_repository.dart", "Dart", 33, 0, 5, 38
"d:\Projects\study247\lib\features\flashcards\screens\flashcard_screen.dart", "Dart", 226, 45, 16, 287
"d:\Projects\study247\lib\features\history\screens\history_screen.dart", "Dart", 8, 0, 3, 11
"d:\Projects\study247\lib\features\home\home_screen.dart", "Dart", 124, 0, 10, 134
"d:\Projects\study247\lib\features\home\widgets\create_card.dart", "Dart", 42, 0, 3, 45
"d:\Projects\study247\lib\features\home\widgets\custom_drawer.dart", "Dart", 149, 0, 8, 157
"d:\Projects\study247\lib\features\home\widgets\room_card\avatar.dart", "Dart", 20, 0, 3, 23
"d:\Projects\study247\lib\features\home\widgets\room_card\enter_button.dart", "Dart", 45, 2, 7, 54
"d:\Projects\study247\lib\features\home\widgets\room_card\num_participants.dart", "Dart", 57, 0, 3, 60
"d:\Projects\study247\lib\features\home\widgets\room_card\room_card.dart", "Dart", 93, 0, 5, 98
"d:\Projects\study247\lib\features\home\widgets\room_card\room_tags.dart", "Dart", 38, 0, 3, 41
"d:\Projects\study247\lib\features\music\controllers\music_controller.dart", "Dart", 57, 0, 8, 65
"d:\Projects\study247\lib\features\music\widgets\music_box.dart", "Dart", 58, 0, 5, 63
