"filename", "language", "Dart", "comment", "blank", "total"
"d:\Projects\study247\lib\constants\common.dart", "Dart", 2, 0, 0, 2
"d:\Projects\study247\lib\constants\icons.dart", "Dart", 4, 0, 0, 4
"d:\Projects\study247\lib\core\models\room.dart", "Dart", 9, 0, 0, 9
"d:\Projects\study247\lib\core\shared\widgets\custom_button.dart", "Dart", 15, 0, 0, 15
"d:\Projects\study247\lib\features\auth\controllers\auth_controller.dart", "Dart", 36, 0, 6, 42
"d:\Projects\study247\lib\features\auth\repositories\auth_repository.dart", "Dart", 37, 0, 4, 41
"d:\Projects\study247\lib\features\auth\screens\auth_gate.dart", "Dart", -2, 1, 0, -1
"d:\Projects\study247\lib\features\auth\screens\sign_in_screen.dart", "Dart", 174, 2, 7, 183
"d:\Projects\study247\lib\features\auth\screens\sign_up_screen.dart", "Dart", 184, 0, 6, 190
"d:\Projects\study247\lib\features\chat\widgets\chat_input.dart", "Dart", 2, 0, 0, 2
"d:\Projects\study247\lib\features\chat\widgets\message_widget.dart", "Dart", 79, 0, 6, 85
"d:\Projects\study247\lib\features\document\controllers\document_controller.dart", "Dart", 79, 23, 13, 115
"d:\Projects\study247\lib\features\document\controllers\documents_folder_controller.dart", "Dart", 27, 0, 5, 32
"d:\Projects\study247\lib\features\document\repositories\document_repository.dart", "Dart", 55, 3, 4, 62
"d:\Projects\study247\lib\features\document\screens\document_edit_screen.dart", "Dart", 61, -5, 3, 59
"d:\Projects\study247\lib\features\document\screens\document_folder_screen.dart", "Dart", 90, 0, 6, 96
"d:\Projects\study247\lib\features\document\screens\document_tab.dart", "Dart", 2, 0, 0, 2
"d:\Projects\study247\lib\features\document\screens\select_folder_screen.dart", "Dart", 59, 0, 5, 64
"d:\Projects\study247\lib\features\document\widgets\document_settings_dialog.dart", "Dart", 139, 1, 10, 150
"d:\Projects\study247\lib\features\document\widgets\document_widget.dart", "Dart", 2, 1, 0, 3
"d:\Projects\study247\lib\features\document\widgets\folder_settings_dialog.dart", "Dart", 130, 1, 10, 141
"d:\Projects\study247\lib\features\document\widgets\folder_widget.dart", "Dart", 45, 0, 2, 47
"d:\Projects\study247\lib\features\file\repositories\file_repository.dart", "Dart", -5, 5, 0, 0
"d:\Projects\study247\lib\features\file\widgets\file_view.dart", "Dart", 2, 0, 0, 2
"d:\Projects\study247\lib\features\flashcards\controllers\flashcard_list_controller.dart", "Dart", 7, 0, 1, 8
"d:\Projects\study247\lib\features\flashcards\screens\flashcard_screen.dart", "Dart", -30, -23, -1, -54
"d:\Projects\study247\lib\features\flashcards\widgets\complete_dialog.dart", "Dart", 43, 0, 3, 46
"d:\Projects\study247\lib\features\home\home_screen.dart", "Dart", 83, 0, 3, 86
"d:\Projects\study247\lib\features\home\widgets\custom_drawer.dart", "Dart", 2, 0, 0, 2
"d:\Projects\study247\lib\features\meeting\controllers\meeting_controler.dart", "Dart", 18, 0, 5, 23
"d:\Projects\study247\lib\features\room\controllers\room_controller.dart", "Dart", 4, 0, 1, 5
"d:\Projects\study247\lib\features\room\repositories\room_list_repository.dart", "Dart", 2, 0, 1, 3
"d:\Projects\study247\lib\features\room\repositories\room_repository.dart", "Dart", 0, 0, 1, 1
"d:\Projects\study247\lib\features\room\screens\room_screen\room_screen.dart", "Dart", 64, 2, 5, 71
"d:\Projects\study247\lib\features\room\screens\room_screen\widgets\dots_menu.dart", "Dart", -6, 0, 0, -6
"d:\Projects\study247\lib\features\room\screens\room_screen\widgets\expanded_menu.dart", "Dart", 6, 0, -1, 5
"d:\Projects\study247\lib\features\room\screens\room_screen\widgets\meeting_controls.dart", "Dart", 27, 0, 4, 31
"d:\Projects\study247\lib\features\room\screens\room_screen\widgets\participant_tile.dart", "Dart", 55, 1, 8, 64
"d:\Projects\study247\lib\features\room_background\controllers\room_background_controller.dart", "Dart", 0, 0, 1, 1
"d:\Projects\study247\lib\features\room_background\widgets\room_background_box.dart", "Dart", 27, -1, 1, 27
"d:\Projects\study247\lib\router\authenticated_router.dart", "Dart", 9, 0, 0, 9
"d:\Projects\study247\lib\utils\youtube.dart", "Dart", 16, 0, 0, 16
"Total", "-", 1553, 11, 119, 1683
