Date : 2023-06-16 22:28:39
Directory : d:\Projects\study247\lib
Total : 118 files,  8390 codes, 126 comments, 840 blanks, all 9356 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        118 |      8,390 |        126 |        840 |      9,356 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        118 |      8,390 |        126 |        840 |      9,356 |
| . (Files)                                                                                           |          2 |         79 |         12 |          9 |        100 |
| constants                                                                                           |          3 |         82 |          0 |         10 |         92 |
| core                                                                                                |         22 |      1,032 |          3 |        123 |      1,158 |
| core (Files)                                                                                        |          1 |         12 |          0 |          4 |         16 |
| core\models                                                                                         |         10 |        679 |          3 |         82 |        764 |
| core\providers                                                                                      |          1 |          8 |          0 |          2 |         10 |
| core\shared                                                                                         |         10 |        333 |          0 |         35 |        368 |
| core\shared\screens                                                                                 |          2 |         22 |          0 |          6 |         28 |
| core\shared\widgets                                                                                 |          8 |        311 |          0 |         29 |        340 |
| features                                                                                            |         83 |      7,053 |        111 |        677 |      7,841 |
| features\auth                                                                                       |          5 |        645 |          4 |         55 |        704 |
| features\auth\controllers                                                                           |          1 |        104 |          0 |         17 |        121 |
| features\auth\repositories                                                                          |          1 |        110 |          1 |         15 |        126 |
| features\auth\screens                                                                               |          3 |        431 |          3 |         23 |        457 |
| features\chat                                                                                       |          8 |        695 |          2 |         54 |        751 |
| features\chat\controllers                                                                           |          3 |        101 |          0 |         14 |        115 |
| features\chat\repositories                                                                          |          1 |         57 |          0 |          8 |         65 |
| features\chat\widgets                                                                               |          4 |        537 |          2 |         32 |        571 |
| features\document                                                                                   |         17 |      1,781 |         38 |        167 |      1,986 |
| features\document\controllers                                                                       |          4 |        254 |         23 |         37 |        314 |
| features\document\repositories                                                                      |          2 |        221 |          3 |         25 |        249 |
